,kappa,# Edges,# Nodes,Min Degree,Max Degree,Diameter,S_0_1,S_1_1,S_2_1,S_3_1,S_4_1,S_5_1,S_6_1,S_7_1,S_8_1,S_9_1,S_10_1,S_11_1,S_12_1,S_13_1,S_0_2,S_1_2,S_2_2,S_3_2,S_4_2,S_5_2,S_6_2,S_7_2,S_8_2,S_9_2,S_10_2,S_11_2,S_12_2,S_13_2,S_0_3,S_1_3,S_2_3,S_3_3,S_4_3,S_5_3,S_6_3,S_7_3,S_8_3,S_9_3,S_10_3,S_11_3,S_12_3,S_13_3,label
137,5,56,14,6,10,2,4,1,4,3,1,0,0,0,2,1,4,1,4,4,0.0,2.0,0.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,0
138,5,42,14,3,9,3,2,4,4,4,1,0,1,1,1,0,3,0,4,0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,1
139,5,56,14,5,10,2,3,3,1,1,4,2,4,0,3,0,3,3,1,2,4.0,4.0,2.0,2.0,0.0,3.0,0.0,1.0,4.0,1.0,4.0,4.0,2.0,3.0,0.0,0.0,3.0,3.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,0
140,5,42,14,4,8,2,1,4,3,1,0,1,4,2,0,1,0,4,3,3,2.0,0.0,4.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,0.0,4.0,4.0,3.0,1.0,0.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0
141,5,42,14,4,8,2,1,1,2,1,4,0,1,3,4,2,1,4,4,2,2.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,0.0,0.0,4.0,3.0,0.0,1.0,4.0,0
142,5,42,14,3,9,3,0,4,1,4,3,1,0,4,3,3,1,2,1,1,1.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,3.0,0
143,5,56,14,6,10,2,2,1,4,3,0,4,1,1,3,1,1,3,4,3,3.0,2.0,0.0,4.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0
144,5,56,14,6,11,2,0,0,4,1,0,1,3,4,0,3,4,0,2,2,1.0,1.0,0.0,2.0,1.0,2.0,4.0,0.0,1.0,4.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,4.0,0
145,5,28,14,2,6,3,2,0,0,0,0,4,2,0,0,4,0,3,1,1,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,0
146,5,56,14,5,11,2,2,0,0,3,1,1,2,4,3,1,1,2,1,1,3.0,1.0,1.0,4.0,2.0,2.0,3.0,0.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,0.0,3.0,3.0,4.0,1.0,0.0,3.0,3.0,4.0,3.0,3.0,0
147,5,56,14,6,10,2,1,1,4,0,0,0,0,0,1,1,2,0,0,3,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,0.0,1
148,5,56,14,6,11,2,2,2,3,4,1,4,2,1,1,4,2,0,3,2,3.0,3.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,3.0,1.0,4.0,3.0,4.0,4.0,0.0,1.0,3.0,1.0,4.0,3.0,3.0,0.0,4.0,2.0,0.0,4.0,0
149,5,28,14,3,7,3,4,2,1,3,2,4,0,3,0,2,4,0,4,3,0.0,3.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1
150,5,42,14,4,8,3,4,0,1,0,0,0,4,3,2,0,0,4,0,4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0
151,5,28,14,2,7,3,1,3,2,3,2,4,3,4,0,0,0,2,0,0,2.0,4.0,3.0,4.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,4.0,1.0,0.0,1
152,5,56,14,5,11,2,4,2,1,4,1,3,1,1,4,2,2,3,3,3,0.0,3.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,3.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,1
153,5,42,14,4,8,3,1,3,1,4,3,2,4,2,3,3,4,0,4,3,2.0,4.0,2.0,0.0,4.0,3.0,0.0,3.0,4.0,4.0,0.0,1.0,0.0,4.0,3.0,0.0,3.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0
