,kappa,# Edges,# Nodes,Min Degree,Max Degree,Diameter,Concentrated
6032,1.760080397819399,2316,81,50,68,2,0
6033,1.7690612086891968,191,74,1,10,5,0
6034,2.6279540161618185,754,61,18,32,2,0
6035,0.6879864654630978,3390,84,76,83,2,0
6036,3.2955540284550753,2077,93,34,57,2,1
6037,0.5090154328618754,1527,65,39,55,2,0
6038,3.668855715129829,927,65,19,38,2,0
6039,1.822050537953555,1078,80,19,40,2,0
6040,2.818217797818361,1760,92,29,49,2,0
6041,4.062594959956543,1347,59,40,51,2,1
6042,2.501556193881434,634,43,20,35,2,0
6043,3.251509132421823,968,57,26,43,2,0
6044,3.74545609047001,485,79,5,18,3,0
6045,3.937383107274726,1382,78,27,46,2,0
6046,3.725440450651776,908,63,20,37,2,0
6047,1.5338240815332798,209,27,10,21,2,0
6048,0.7267662424060677,363,40,11,26,2,0
6049,3.4133759771447814,672,43,25,37,2,1
6050,2.7540725718737953,347,32,15,26,2,1
6051,3.643769192196803,2181,81,45,64,2,0
6052,1.678192880571121,1048,76,18,39,2,0
6053,4.074719963880558,500,73,7,22,3,1
6054,2.885073553967069,973,61,25,43,2,1
6055,2.375577348874784,662,41,24,37,2,0
6056,4.409391813888956,336,43,9,22,3,1
6057,3.8851885474476204,3713,100,63,83,2,1
6058,1.881232519127198,316,34,13,24,2,0
6059,2.3160072220379853,1059,57,25,45,2,0
6060,1.4136782914127468,277,26,16,24,2,0
6061,3.73166143152367,2268,84,41,64,2,0
6062,2.379760364342613,3061,99,50,75,2,0
6063,4.440315608529765,221,28,12,23,2,1
6064,2.300366417701358,2498,89,46,66,2,0
6065,2.1493118357083127,1709,80,33,52,2,0
6066,3.7798721785568024,1103,58,28,44,2,0
6067,2.964105784326934,906,61,21,37,2,1
6068,2.0258968467841187,265,37,7,21,2,0
6069,3.6018486497481828,256,33,11,20,2,1
6070,3.5050904791413444,221,27,10,22,2,1
6071,3.356886598297631,532,100,2,19,4,0
6072,2.5545851970050357,259,74,2,16,4,0
6073,1.3879841876036725,151,35,4,14,3,0
6074,0.7612826049502148,1051,91,14,31,3,0
6075,2.595079189408109,1422,75,27,52,2,0
6076,3.830136599110719,382,76,2,19,4,0
6077,3.880552198757766,4447,97,86,95,2,0
6078,3.8017987633062416,939,66,19,37,2,0
6079,2.3816470838992814,294,38,10,22,2,0
6080,1.0823409111441444,85,29,3,10,3,0
6081,1.7634437594686942,2190,67,63,66,2,0
6082,3.4672279840714992,264,36,9,20,3,0
6083,0.9585745199885962,278,66,4,17,4,0
6084,3.045992165831161,4641,99,86,98,2,1
6085,1.507757353611734,1519,66,37,54,2,0
6086,1.4664497516953157,330,30,18,27,2,0
6087,0.8312940585300725,1983,93,33,54,2,0
6088,1.292631183770499,1125,92,15,35,3,0
6089,2.565207147869659,1417,61,40,54,2,0
6090,0.6206725184479045,136,37,3,14,4,0
6091,4.127882789839372,555,95,5,20,3,1
6092,3.204849406091965,2244,69,61,68,2,0
6093,2.8334779032928386,72,33,2,10,5,0
6094,0.8264090405659439,78,31,1,11,5,0
6095,2.87038540947689,828,71,16,37,2,0
6096,1.9406686835859164,4100,96,78,93,2,0
6097,3.943503735453506,329,28,20,26,2,1
6098,1.6389582508966365,697,57,18,34,2,0
6099,3.9657391981328347,953,74,16,37,2,1
6100,2.7703494114411664,342,34,16,25,2,1
6101,0.5887732395404184,2699,82,58,74,2,0
6102,4.075699627576753,671,71,11,26,3,0
6103,0.5687975447751001,107,31,4,10,3,0
6104,2.204162073805911,890,53,22,42,2,0
6105,1.7587245441157395,136,25,8,16,2,0
6106,4.007889492938842,3028,93,56,75,2,0
6107,4.468915186518213,599,90,6,22,3,1
6108,0.7213364592979041,369,56,7,20,3,0
6109,1.386585761272792,2352,80,49,67,2,0
6110,3.8843408191228326,199,26,10,18,2,1
6111,2.6049973028890236,3071,85,64,79,2,0
